price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending,staked_balance,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","1000000000","0","1000000000","1000000000","0","0","1","5"
"1","1","1","1","1000000000","0","1000000000","1000000000","0","0","1","6"
"1","1","1","1","1000000000","0","1000000000","1011395347","0","0","1.011395347","7"
"1","1","1","1","1000000000","0","1000000000","1022788076","0","0","1.022788076","8"
"1","1","1","1","1000000000","0","1000000000","1034178216","0","0","1.034178216","9"
"1","1","1","1","1000000000","0","1000000000","1045565795","0","0","1.045565795","10"
"1","1","1","1","1000000000","0","1000000000","1055812340","0","0","1.05581234","11"
"1","1","1","1","1000000000","0","1000000000","1066056855","0","0","1.066056855","12"
"1","1","1","1","1000000000","0","1000000000","1076299362","0","0","1.076299362","13"
"1","1","1","1","1000000000","0","1000000000","1086539880","0","0","1.08653988","14"
"1","1","1","1","1000000000","0","1000000000","1096778428","0","0","1.096778428","15"
"1","1","1","1","1000000000","0","1000000000","1107015026","0","0","1.107015026","16"
"1","1","1","1","1000000000","0","1000000000","1117249693","0","0","1.117249693","17"
"1","1","1","1","1000000000","0","1000000000","1127482447","0","0","1.127482447","18"
"1","1","1","1","1000000000","0","1000000000","1137713306","0","0","1.137713306","19"
"1","1","1","1","1000000000","0","1000000000","1147942287","0","0","1.147942287","20"
"1","1","1","1","1000000000","0","1000000000","1157146697","0","0","1.157146697","21"
"1","1","1","1","1000000000","0","1000000000","1166349613","0","0","1.166349613","22"
"1","1","1","1","1000000000","0","1000000000","1175551047","0","0","1.175551047","23"
"1","1","1","1","1000000000","0","1000000000","1184751011","0","0","1.184751011","24"
"1","1","1","1","1000000000","0","1000000000","1193949517","0","0","1.193949517","25"
"1","1","1","1","1000000000","0","1000000000","1203146578","0","0","1.203146578","26"
"1","1","1","1","1000000000","0","1000000000","1212342204","0","0","1.212342204","27"
"1","1","1","1","1000000000","0","1000000000","1221536407","0","0","1.221536407","28"
"1","1","1","1","1000000000","0","1000000000","1230729198","0","0","1.230729198","29"
"1","1","1","1","1000000000","0","1000000000","1239920587","0","0","1.239920587","30"
"1","1","1","1","1000000000","0","1000000000","1248191587","0","0","1.248191587","31"
"1","1","1","1","1000000000","0","1000000000","1256461468","0","0","1.256461468","32"
"1","1","1","1","1000000000","0","1000000000","1264730238","0","0","1.264730238","33"
"1","1","1","1","1000000000","0","1000000000","1272997905","0","0","1.272997905","34"
"1","1","1","1","1000000000","0","1000000000","1281264477","0","0","1.281264477","35"
"1","1","1","1","1000000000","0","1000000000","1289529960","0","0","1.28952996","36"
"1","1","1","1","1000000000","0","1000000000","1297794362","0","0","1.297794362","37"
"1","1","1","1","1000000000","0","1000000000","1306057690","0","0","1.30605769","38"
"1","1","1","1","1000000000","0","1000000000","1314319952","0","0","1.314319952","39"
"1","1","1","1","1000000000","0","1000000000","1322581153","0","0","1.322581153","40"
"1","1","1","1","1000000000","0","1000000000","1330015287","0","0","1.330015287","41"
"1","1","1","1","1000000000","0","1000000000","1337448573","0","0","1.337448573","42"
"1","1","1","1","1000000000","0","1000000000","1344881015","0","0","1.344881015","43"
"1","1","1","1","1000000000","0","1000000000","1352312620","0","0","1.35231262","44"
"1","1","1","1","1000000000","0","1000000000","1359743391","0","0","1.359743391","45"
"1","1","1","1","1000000000","0","1000000000","1367173334","0","0","1.367173334","46"
"1","1","1","1","1000000000","0","1000000000","1374602452","0","0","1.374602452","47"
"1","1","1","1","1000000000","0","1000000000","1382030752","0","0","1.382030752","48"
"1","1","1","1","1000000000","0","1000000000","1389458236","0","0","1.389458236","49"
"1","1","1","1","1000000000","0","1000000000","1396884911","0","0","1.396884911","50"
"1","1","1","1","1000000000","0","1000000000","1403568192","0","0","1.403568192","51"
"1","1","1","1","1000000000","0","1000000000","1410250825","0","0","1.410250825","52"
"1","1","1","1","1000000000","0","1000000000","1416932811","0","0","1.416932811","53"
"1","1","1","1","1000000000","0","1000000000","1423614154","0","0","1.423614154","54"
"1","1","1","1","1000000000","0","1000000000","1430294857","0","0","1.430294857","55"
"1","1","1","1","1000000000","0","1000000000","1436974924","0","0","1.436974924","56"
"1","1","1","1","1000000000","0","1000000000","1443654357","0","0","1.443654357","57"
"1","1","1","1","1000000000","0","1000000000","1450333159","0","0","1.450333159","58"
"1","1","1","1","1000000000","0","1000000000","1457011334","0","0","1.457011334","59"
"1","1","1","1","1000000000","0","1000000000","1463688884","0","0","1.463688884","60"
"1","1","1","1","1000000000","0","1000000000","1469698119","0","0","1.469698119","61"
"1","1","1","1","1000000000","0","1000000000","1475706853","0","0","1.475706853","62"
"1","1","1","1","1000000000","0","1000000000","1481715088","0","0","1.481715088","63"
"1","1","1","1","1000000000","0","1000000000","1487722826","0","0","1.487722826","64"
"1","1","1","1","1000000000","0","1000000000","1493730068","0","0","1.493730068","65"
