price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","500000000","0","1000000000","1000000000","500000000","0","1","5"
"1","1","1","1","750000000","500000000","1000000000","1000000000","750000000","500000000","1","6"
"1.015193796","1","1","1","867516800","750000000","1000000000","1011395347","880697673","1250000000","1.0151937968233007","7"
"1.028326371","1","1","1","919985355","869302327","1000000000","1022788076","946045200","2130697673","1.0283263726518777","8"
"1.040707157","1","1","1","940435227","923257127","1000000000","1034178216","978717671","3076742873","1.0407071576020408","9"
"1.052815997","1","1","1","945134409","944539456","1000000000","1045565796","995052625","4055460544","1.052815998999355","10"
"1.063657361","1","1","1","942643395","949486831","1000000000","1055812340","1002649584","5050513169","1.0636573621777725","11"
"1.074525221","1","1","1","936643488","946837247","1000000000","1066056855","1006447050","6053162753","1.0745252221301944","12"
"1.085460553","1","1","1","928955710","940390197","1000000000","1076299362","1008344778","7059609803","1.0854605554876238","13"
"1.096484243","1","1","1","920480760","932045419","1000000000","1086539880","1009292648","8067954581","1.0964842448200656","14"
"1.107607288","1","1","1","911663917","922752771","1000000000","1096778428","1009765598","9077247229","1.1076072905493746","15"
"1.118835768","1","1","1","902725072","912987173","1000000000","1107015026","1010001099","10087012827","1.1188357688596469","16"
"1.130173292","1","1","1","893772566","902986074","1000000000","1117249693","1010117882","11097013926","1.1301732939965847","17"
"1.14162224","1","1","1","884859531","892868192","1000000000","1127482447","1010175318","12107131808","1.141622241282046","18"
"1.153184369","1","1","1","876011779","882692874","1000000000","1137713306","1010203088","13117307126","1.15318437059509","19"
"1.164861132","1","1","1","867241604","872489786","1000000000","1147942287","1010216035","14127510214","1.1648611336685826","20"
"1.175474566","1","1","1","858980920","862273751","1000000000","1157146697","1009710222","15137726249","1.175474568166194","21"
"1.186188329","1","1","1","851008686","852563529","1000000000","1166349613","1009456570","16147436471","1.18618832992734","22"
"1.197000715","1","1","1","843215038","843106959","1000000000","1175551047","1009329000","17156893041","1.1970007181015194","23"
"1.207911296","1","1","1","835545199","833777959","1000000000","1184751011","1009264484","18166222041","1.207911298165451","24"
"1.218920286","1","1","1","827971696","824513475","1000000000","1193949518","1009231495","19175486525","1.2189202878258776","25"
"1.230028228","1","1","1","820480584","815281980","1000000000","1203146578","1009214278","20184718020","1.230028229406584","26"
"1.241235839","1","1","1","813064626","806067702","1000000000","1212342204","1009204951","21193932298","1.24123584119622","27"
"1.252543925","1","1","1","805719910","796862751","1000000000","1221536407","1009199578","22203137249","1.2525439268343264","28"
"1.263953339","1","1","1","798444178","787663173","1000000000","1230729198","1009196184","23212336827","1.2639533417701243","29"
"1.275464965","1","1","1","791235993","778466989","1000000000","1239920587","1009193786","24221533011","1.275464967377944","30"
"1.285918233","1","1","1","784445207","769273203","1000000000","1248191587","1008732394","25230726797","1.2859182349494551","31"
"1.296460566","1","1","1","777888017","760540809","1000000000","1256461468","1008501137","26239459191","1.2964605675369338","32"
"1.307090336","1","1","1","771473040","752039672","1000000000","1264730238","1008384953","27247960328","1.3070903385035983","33"
"1.317807067","1","1","1","765154731","743654719","1000000000","1272997905","1008326311","28256345281","1.3178070684895236","34"
"1.32861086","1","1","1","758910282","735328408","1000000000","1281264477","1008296442","29264671592","1.3286108607499405","35"
"1.339502113","1","1","1","752728162","727031966","1000000000","1289529960","1008280962","30272968034","1.3395021136461744","36"
"1.350481379","1","1","1","746602433","718751004","1000000000","1297794362","1008272681","31281248996","1.3504813813002938","37"
"1.361549292","1","1","1","740529934","710478323","1000000000","1306057691","1008268005","32289521677","1.361549294238253","38"
"1.372706522","1","1","1","734508884","702210318","1000000000","1314319952","1008265134","33297789682","1.3727065226347894","39"
"1.383953768","1","1","1","728538187","693945184","1000000000","1322581154","1008263167","34306054816","1.3839537707033056","40"
"1.394157949","1","1","1","722908515","685682017","1000000000","1330015287","1007848651","35314317983","1.394157949571254","41"
"1.404440421","1","1","1","717467936","677833366","1000000000","1337448573","1007640968","36322166634","1.404440422268571","42"
"1.414799691","1","1","1","712140887","670192398","1000000000","1344881016","1007536706","37329807602","1.414799692578247","43"
"1.425235274","1","1","1","706889715","662655692","1000000000","1352312620","1007484155","38337344308","1.4252352745010586","44"
"1.4357472","1","1","1","701695580","655171537","1000000000","1359743392","1007457464","39344828463","1.4357472010868302","45"
"1.446335755","1","1","1","696548986","647714073","1000000000","1367173334","1007443702","40352285927","1.4463357570661943","46"
"1.457001366","1","1","1","691445070","640270371","1000000000","1374602453","1007436411","41359729629","1.4570013681636345","47"
"1.46774452","1","1","1","686381276","632833960","1000000000","1382030752","1007432355","42367166040","1.4677445207581683","48"
"1.478565744","1","1","1","681356189","625401605","1000000000","1389458237","1007429920","43374598395","1.4785657461753825","49"
"1.489465587","1","1","1","676368965","617971685","1000000000","1396884911","1007428297","44382028315","1.4894655892438826","50"
"1.499346708","1","1","1","671663055","610543388","1000000000","1403568193","1007055790","45389456612","1.4993467088940897","51"
"1.50929609","1","1","1","667111787","603487598","1000000000","1410250825","1006869210","46396512402","1.5092960919306917","52"
"1.519312385","1","1","1","662652138","596618388","1000000000","1416932812","1006775598","47403381612","1.5193123877010717","53"
"1.529395118","1","1","1","658252704","589842790","1000000000","1423614155","1006728471","48410157210","1.5293951211782641","54"
"1.539544268","1","1","1","653897786","583114319","1000000000","1430294858","1006704588","49416885681","1.539544269079388","55"
"1.549760036","1","1","1","649579486","576409731","1000000000","1436974925","1006692327","50423590269","1.5497600381425838","56"
"1.560042739","1","1","1","645293783","569717404","1000000000","1443654357","1006685879","51430282596","1.5600427410285465","57"
"1.570392761","1","1","1","641038578","563031525","1000000000","1450333160","1006682342","52436968475","1.5703927619158047","58"
"1.580810503","1","1","1","636812734","556349183","1000000000","1457011334","1006680258","53443650817","1.5808105040185958","59"
"1.591296397","1","1","1","632615587","549668925","1000000000","1463688884","1006678904","54450331075","1.5912963981394912","60"
"1.600795431","1","1","1","628652513","542990021","1000000000","1469698120","1006344070","55457009979","1.6007954318000157","61"
