price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","500000000","0","1000000000","1000000000","500000000","0","1","1"
"1","1","1","1","750000000","500000000","1000000000","1000000000","750000000","500000000","1","2"
"1.015934957","1","1","1","867157491","750000000","1000000000","1011951218","880975608","1250000000","1.0159349589243183","3"
"1.0297137","1","1","1","919150609","869024392","1000000000","1023899557","946461973","2130975608","1.0297137016856397","4"
"1.042709934","1","1","1","939095048","922562419","1000000000","1035845052","979203734","3077437581","1.042709935576191","5"
"1.05542716","1","1","1","943289359","943358685","1000000000","1047787735","995573209","4056641315","1.055427161878967","6"
"1.068084896","1","1","1","939772262","947785476","1000000000","1059727641","1003756557","5052214524","1.0680848973599522","7"
"1.080787083","1","1","1","932511941","944028919","1000000000","1071664803","1007846860","6055971081","1.0807870845269958","8"
"1.093585256","1","1","1","923467694","936182059","1000000000","1083599251","1009890654","7063817941","1.0935852575693894","9"
"1.106505869","1","1","1","913606733","926291405","1000000000","1095531018","1010911210","8073708595","1.1065058700700272","10"
"1.118257319","1","1","1","903927648","915380195","1000000000","1106267221","1010823707","9084619805","1.1182573198601842","11"
"1.13013225","1","1","1","894389921","904556488","1000000000","1117001299","1010778891","10095443512","1.130132252463073","12"
"1.142131463","1","1","1","884972936","893777597","1000000000","1127733272","1010755434","11106222403","1.142131464006714","13"
"1.154256003","1","1","1","875665935","883022163","1000000000","1138463161","1010742660","12116977837","1.1542560051739366","14"
"1.166507053","1","1","1","866463038","872279503","1000000000","1149190986","1010735243","13127720497","1.166507054164727","15"
"1.178885865","1","1","1","857360788","861544260","1000000000","1159916768","1010730512","14138455740","1.1788858671245879","16"
"1.191393739","1","1","1","848356932","850813748","1000000000","1170640527","1010727137","15149186252","1.1913937399170094","17"
"1.204031998","1","1","1","839449822","840086611","1000000000","1181362281","1010724445","16159913389","1.2040319987106984","18"
"1.216801992","1","1","1","830638111","829362166","1000000000","1192082049","1010722106","17170637834","1.2168019930884197","19"
"1.229705088","1","1","1","821920610","818640060","1000000000","1202799851","1010719954","18181359940","1.2297050891569685","20"
"1.241438907","1","1","1","813718747","807920106","1000000000","1212444118","1010182110","19192079894","1.241438909603984","21"
"1.253289075","1","1","1","805809632","797737996","1000000000","1222086820","1009912407","20202262004","1.2532890758496171","22"
"1.265253626","1","1","1","798082502","787825589","1000000000","1231727970","1009776778","21212174411","1.2652536278761817","23"
"1.277332091","1","1","1","790482133","778048811","1000000000","1241367580","1009708194","22221951189","1.2773320924636256","24"
"1.289524755","1","1","1","782980812","768340617","1000000000","1251005662","1009673138","23231659383","1.2895247565785815","25"
"1.301832296","1","1","1","775564454","758667479","1000000000","1260642229","1009654853","24241332521","1.3018322974869088","26"
"1.314255591","1","1","1","768225729","749012626","1000000000","1270277294","1009644959","25250987374","1.31425559296778","27"
"1.326795622","1","1","1","760960656","739367667","1000000000","1279910867","1009639266","26260632333","1.3267956234520488","28"
"1.339453431","1","1","1","753766915","729728401","1000000000","1289542960","1009635680","27270271599","1.3394534317017615","29"
"1.352230093","1","1","1","746643014","720092721","1000000000","1299173585","1009633152","28279907279","1.3522300953317432","30"
"1.36383705","1","1","1","739934219","710459569","1000000000","1307839837","1009149702","29289540431","1.363837052115034","31"
"1.375547661","1","1","1","733458695","701309867","1000000000","1316504917","1008907390","30298690133","1.3755476632532115","32"
"1.387360075","1","1","1","727126053","692402477","1000000000","1325168833","1008785654","31307597523","1.3873600757914255","33"
"1.399273773","1","1","1","720891242","683616823","1000000000","1333831593","1008724206","32316383177","1.399273775613437","34"
"1.411288921","1","1","1","714731687","674892617","1000000000","1342493206","1008692911","33325107383","1.4112889219083973","35"
"1.423406017","1","1","1","708635962","666199706","1000000000","1351153678","1008676690","34333800294","1.4234060195776517","36"
"1.435625748","1","1","1","702598165","657523016","1000000000","1359813017","1008668016","35342476984","1.43562574917912","37"
"1.447948887","1","1","1","696615139","648855000","1000000000","1368471231","1008663115","36351145000","1.4479488881736748","38"
"1.460376261","1","1","1","690685088","640191885","1000000000","1377128327","1008660104","37359808115","1.4603762634006658","39"
"1.472908728","1","1","1","684806891","631531781","1000000000","1385784313","1008658046","38368468219","1.4729087298276033","40"
"1.484283315","1","1","1","679266358","622873735","1000000000","1393573707","1008223720","39377126265","1.484283315559108","41"
"1.49574937","1","1","1","673913781","614650015","1000000000","1401362212","1008006113","40385349985","1.495749370942156","42"
"1.507305186","1","1","1","668674717","606643902","1000000000","1409149835","1007896867","41393356098","1.5073051879722859","43"
"1.518950229","1","1","1","663512068","598747035","1000000000","1416936579","1007841806","42401252965","1.5189502295533228","44"
"1.530684562","1","1","1","658407267","590905229","1000000000","1424722450","1007813839","43409094771","1.5306845633585633","45"
"1.542508557","1","1","1","653350944","583091390","1000000000","1432507453","1007799420","44416908610","1.5425085587692975","46"
"1.554422736","1","1","1","648338292","575291970","1000000000","1440291592","1007791780","45424708030","1.5544227364562326","47"
"1.566427706","1","1","1","643366769","567500190","1000000000","1448074873","1007787530","46432499810","1.566427707427954","48"
"1.578524115","1","1","1","638434960","559712660","1000000000","1455857300","1007784978","47440287340","1.5785241177895395","49"
"1.59071264","1","1","1","633542008","551927682","1000000000","1463638879","1007783280","48448072318","1.5907126414259811","50"
"1.601765831","1","1","1","628926495","544144402","1000000000","1470641539","1007392969","49455855598","1.6017658343364911","51"
"1.61289906","1","1","1","624464048","536751433","1000000000","1477643520","1007197476","50463248567","1.6128990615645498","52"
"1.62411076","1","1","1","620092801","529553957","1000000000","1484644823","1007099388","51470446043","1.6241107627372697","53"
"1.63540041","1","1","1","615781924","522454569","1000000000","1491645452","1007050009","52477545431","1.6354004116561238","54"
"1.646768005","1","1","1","611516001","515404560","1000000000","1498645411","1007024984","53484595440","1.6467680082830736","55"
"1.658213812","1","1","1","607287270","508379576","1000000000","1505644703","1007012138","54491620424","1.6582138153496944","56"
"1.669738227","1","1","1","603091771","501367438","1000000000","1512643331","1007005384","55498632562","1.6697382279487278","57"
"1.681341714","1","1","1","598927433","494362054","1000000000","1519641298","1007001675","56505637946","1.681341714397644","58"
"1.693024781","1","1","1","594793121","487360379","1000000000","1526638607","1006999491","57512639621","1.6930247836541472","59"
"1.704787958","1","1","1","590688168","480360888","1000000000","1533635262","1006998074","58519639112","1.7047879584410432","60"
"1.715447397","1","1","1","586813237","473362814","1000000000","1539931666","1006647239","59526637186","1.7154473988118302","61"
"1.726176327","1","1","1","583064165","466715575","1000000000","1546227543","1006471558","60533284425","1.7261763291523842","62"
"1.736973348","1","1","1","579389119","460244017","1000000000","1552522898","1006383456","61539755983","1.736973350029378","63"
"1.747837955","1","1","1","575762269","453860561","1000000000","1558817732","1006339145","62546139439","1.747837957057933","64"
"1.758770099","1","1","1","572170707","447521416","1000000000","1565112047","1006316730","63552478584","1.7587701025036921","65"
"1.769769965","1","1","1","568607947","441204686","1000000000","1571405846","1006305264","64558795314","1.769769967706765","66"
"1.780837848","1","1","1","565070693","434899422","1000000000","1577699130","1006299275","65565100578","1.780837848194686","67"
"1.791974105","1","1","1","561557236","428600147","1000000000","1583991902","1006296023","66571399853","1.7919741060909418","68"
"1.80317913","1","1","1","558066654","422304124","1000000000","1590284164","1006294143","67577695876","1.803179132433883","69"
"1.814453329","1","1","1","554598420","416009981","1000000000","1596575917","1006292947","68583990019","1.8144533318360336","70"
"1.824662743","1","1","1","551322452","409717034","1000000000","1602238040","1005977535","69590282966","1.824662745641275","71"
"1.834932081","1","1","1","548150876","403739499","1000000000","1607899755","1005819625","70596260501","1.8349320835528502","72"
"1.845260094","1","1","1","545039950","397919874","1000000000","1613561063","1005740467","71602080126","1.8452600951544929","73"
"1.85564631","1","1","1","541967874","392179407","1000000000","1619221965","1005700685","72607820593","1.8556463127185283","74"
