price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","99.990000000","1.000000000","100.000000000","100.000000000","1.010000000","1.010000000","0.000000000","1","5"
"1","2","1","1","99.980100000","0.000000000","102.000000000","102.000000000","2.019900000","2.019900000","0.000000000","1","6"
"1.011397563","3","2","2","99.959142568","0.000000000","103.000000000","104.139529584","3.041096294","3.041096294","0.000000000","1.0113975639719495","7"
"1.023020274","4","3","3","99.927273899","0.023015850","102.990000000","105.268309884","4.073698588","3.063698588","1.010000000","1.0230202742178782","8"
"1.03464037","4","4","3","99.884855375","0.013115850","102.990000000","106.429474422","5.117586504","3.097686504","2.019900000","1.0346403704546587","9"
"1.046373028","4","3","4","99.832132125","0.059490146","102.990000000","107.533818671","6.172754689","3.131658395","3.041096294","1.046373028387327","10"
"1.056732688","4","4","4","99.770660785","0.026887852","102.990000000","108.568045635","7.237713461","3.164014873","4.073698588","1.056732688592667","11"
"1.067291184","3","2","3","99.700536091","0.554242649","109.000000000","109.050231029","8.312556927","3.194970423","5.117586504","1.0672911844513704","12"
"1.067585126","3","3","3","99.630857250","0.499074464","109.000000000","109.079537168","9.386945020","3.214190331","6.172754689","1.067585126103088","13"
"1.078001974","3","3","3","99.552914342","0.434115692","109.000000000","110.117376697","10.470967627","3.233254166","7.237713461","1.078001974450726","14"
"1.088424973","3","3","3","99.466956390","0.359272226","109.000000000","111.155016642","11.564526407","3.251969480","8.312556927","1.0884249736516944","15"
"1.098854993","3","3","3","99.373224626","0.284884133","109.000000000","112.192458942","12.667524022","3.280579002","9.386945020","1.0988549932234943","16"
"1.10929288","3","3","3","99.271952808","0.200861526","109.000000000","113.229705499","13.779864127","3.308896500","10.470967627","1.1092928809205984","17"
"1.119739463","3","3","3","99.163367521","0.107302746","109.000000000","114.266758181","14.901451357","3.336924950","11.564526407","1.1197394638043678","18"
"1.130195549202902","3","3","3","100.048170156","0.004305131","109.000000000","115.303618814","14.901451357","2.233927335","12.667524022","1.1301955491408737","19"
"1.140557261","2","1","1","99.915685208","0.176488886","109.000000000","116.055765338","16.052558025","2.272693898","13.779864127","1.1405572617428794","20"
"1.149629889","2","2","1","99.777675069","0.054901656","109.000000000","116.962263142","17.211218605","2.309767248","14.901451357","1.1496298893582713","21"
"1.158952714","3","2","2","99.634117811","0.054901656","110.000000000","118.892472933","18.377594677","3.476143320","14.901451357","1.1589527142503742","22"
"1.177521199","4","4","3","99.485170811","0.188691572","108.690232752","119.306874050","19.560886571","2.349667966","17.211218605","1.1775211994011803","24"
"1.186832183","4","4","3","99.324472417","0.022315500","108.690232752","120.233178907","20.751608595","2.374013918","18.377594677","1.1868321836545075","25"
"1.205402076","4","3","2","99.158878405","0.971917615","120.841339420","120.952458919","21.958945138","2.398058567","19.560886571","1.2054020768449212","27"
"1.205704367","4","4","2","98.988386422","0.781195591","120.841339420","120.982433725","23.164508065","2.412899470","20.751608595","1.2057043675527022","28"
"1.214902026","5","4","2","98.813383082","0.781195591","121.841339420","122.892895157","24.377119976","3.625511381","20.751608595","1.214902026655418","29"
"1.22411457","5","5","2","98.633997079","0.573859048","121.841339420","123.803217824","25.596708994","3.637763856","21.958945138","1.2241145709556407","30"
"1.232487313","5","5","2","98.450910813","0.368296121","121.841339420","124.629054890","26.822360493","3.657852428","23.164508065","1.2324873135351193","31"
"1.240874492","5","5","2","98.264226148","0.155684210","121.841339420","125.454780289","28.054012731","3.676892755","24.377119976","1.2408744924154858","32"
"1.249276476","4","3","2","98.074042576","0.016136245","122.000000000","126.200353736","29.291604591","3.694895597","25.596708994","1.2492764768930065","33"
"1.257488333","3","2","2","97.880585797","0.769531442","126.000000000","126.026676970","30.534874233","3.712513740","26.822360493","1.257488333051767","34"
"1.257755478","3","3","2","97.688896368","0.537879204","126.000000000","126.052825347","31.775972661","3.721959930","28.054012731","1.257755478761332","35"
"1.266079536","3","3","2","97.493948800","0.300287344","126.000000000","126.865993359","33.022791786","3.731187195","29.291604591","1.2660795364973463","36"
"1.274419148","3","3","2","97.295833799","0.057017702","126.000000000","127.679055017","34.275273336","3.740399103","30.534874233","1.2744191480198241","37"
"1.282774654","2","1","2","97.094640008","0.947169103","125.000000000","127.360761194","35.533359630","3.757386969","31.775972661","1.2827746548907109","38"
"1.290877227","2","2","2","96.890613946","0.700349978","125.000000000","128.147477559","36.796732226","3.773940440","33.022791786","1.2908772274547395","39"
"1.2991904388397408","2","2","2","97.660324044","0.447868428","125.000000000","128.952949604","36.796732226","2.521458890","34.275273336","1.299190437713842","40"
"1.306612412","2","2","2","97.441405325","0.189782134","125.000000000","129.677782047","38.082774140","2.549414510","35.533359630","1.3066124123143643","41"
"1.314050213","3","2","2","97.220387139","0.245181431","124.736627404","130.083759925","39.373203133","2.576470907","36.796732226","1.3140502132165657","42"
"1.321428696","4","3","3","96.997372386","0.245181431","125.736627404","131.801098909","40.667901226","3.871169000","36.796732226","1.3214286963354895","43"
"1.328880278","5","4","3","96.772386767","0.282356671","125.450585490","132.200665641","41.966880177","3.884106037","38.082774140","1.3288802784685791","44"
"1.34370102","5","4","3","96.545497876","0.094263228","124.160156497","132.243386407","43.277266883","2.609365657","40.667901226","1.3437010200581174","46"
"1.351087839","5","4","3","96.312785781","0.587854631","123.446198411","132.163980234","44.591681363","2.624801186","41.966880177","1.3510878397276167","47"
"1.358447221","6","5","4","96.078431176","0.587854631","124.446198411","133.872782749","45.910039723","3.943159546","41.966880177","1.3584472210512397","48"
"1.365879681","6","6","4","95.842454484","0.277467925","124.446198411","134.586881853","47.232355491","3.955088608","43.277266883","1.3658796811370693","49"
"1.373385396","5","4","3","95.604876398","0.215266280","135.000000000","135.054035242","48.558641763","3.966960400","44.591681363","1.3733853969476684","50"
"1.373588275","4","3","2","95.369567624","0.944600450","134.000000000","134.025738921","49.881859134","3.971819411","45.910039723","1.373588275837311","51"
"1.380229345","4","4","2","95.133144047","0.622284682","134.000000000","134.659094907","51.208177891","3.975822400","47.232355491","1.3802293459798745","52"
"1.386936082","4","4","2","94.895616229","0.295998410","134.000000000","135.297127808","52.537613791","3.978972028","48.558641763","1.3869360821936352","53"
"1.393658958","3","2","2","94.657020370","0.027451799","134.000000000","135.880428550","53.870135046","3.988275912","49.881859134","1.3936589586419073","54"
"1.400296272","4","3","2","94.417443407","0.052707376","133.673681243","136.157122546","55.205613772","3.997435881","51.208177891","1.4002962722796826","55"
"1.406981867","3","2","2","94.176902774","0.751562161","132.673681243","135.760068698","56.544050079","4.006436288","52.537613791","1.4069818678256802","56"
"1.413583794","3","3","2","93.935481334","0.419040906","132.673681243","136.381817668","57.885319513","4.015184467","53.870135046","1.413583794124214","57"
"1.420300562","3","3","2","93.693162082","0.083562180","132.673681243","137.012760570","59.229485681","4.023871909","55.205613772","1.4203005628578889","58"
"1.42703407","4","3","2","93.449977038","0.134525099","132.335244936","137.254244954","60.576519023","4.032468944","56.544050079","1.4270340703751345","59"
"1.433716329","3","2","2","93.205990433","0.839601295","131.335244936","136.832356303","61.926326602","4.041007089","57.885319513","1.4337163296929825","60"
"1.439655407","3","3","2","92.961595088","0.495435127","131.335244936","137.385913906","63.278171681","4.048686000","59.229485681","1.439655407228225","61"
"1.44569756","3","3","2","92.716769668","0.148401785","131.335244936","137.947602153","64.632115191","4.055596168","60.576519023","1.445697560969516","62"
"1.451755166","4","3","3","92.471535140","0.223555114","130.985437357","138.084282823","65.988135683","4.061809081","61.926326602","1.4517551660925092","63"
