immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.910904008","0.000000000"
"10000000000","10000000000","1","1","0","1","20.000000000","0.000000000","10.000000000","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3979.880370332","10.000000000"
"10000000000","10000000000","1","2","1","2","23.500000000","0.000000000","15.000000000","15.000000000","1.500000000","1.500000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","5","3974.871367692","13.500000000"
"10000000000","10000000000","1.00490613","3","2","2","26.628030199","0.000000000","20.000000000","20.115294063","3.356623275","3.356623275","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.004906130420601","6","3969.862352892","16.628030199"
"10000000000","10000000000","1.011374651","4","3","2","29.414616917","0.000000000","25.000000000","25.287538044","5.538340097","5.538340097","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.0113746519611013","7","3964.853325932","19.414616917"
"10000000000","10000000000","1.019143788","5","4","3","31.888626380","0.000000000","28.550136574","29.016064204","8.016968718","6.516968718","0.000000000","1.500000000","0.000000000","0.000000000","0.000000000","1.0191437880931389","8","3959.843099540","21.888626380"
"10000000000","10000000000","1.027530836","6","5","3","34.079194351","0.000000000","31.775334612","32.426892396","10.766092573","7.409469298","0.000000000","3.356623275","0.000000000","0.000000000","0.000000000","1.0275308370654739","9","3954.832860988","24.079194351"
"10000000000","10000000000","1.036392661","7","6","3","36.013258573","0.000000000","34.712480520","35.547179405","13.761642602","8.223302505","0.000000000","4.038340097","0.033405312","0.033405312","0.000000000","1.0363926614511523","10","3951.325738520","26.013258573"
"10000000000","10000000000","1.045523988","8","7","3","37.719367893","0.033405312","37.391635036","38.367912971","16.981783052","8.964814334","0.000000000","4.660345443","0.038838947","0.072244259","0.000000000","1.0455239881238483","11","3948.176199207","27.719367893"
"10000000000","10000000000","1.055022239","9","8","3","39.216445087","0.072244259","39.812857071","40.942556760","20.406671864","9.640579291","0.000000000","5.227752476","0.042757391","0.115001650","0.000000000","1.055022239680651","12","3945.351735201","29.216445087"
"10000000000","10000000000","1.064801597","10","9","4","40.524807725","0.115001650","41.997947415","43.292336954","24.018101198","10.256458596","0.000000000","5.744673884","0.048095382","0.163097032","0.000000000","1.0648015975996836","13","3942.824164754","30.524807725"
"10000000000","10000000000","1.074856507","11","10","4","41.663082673","0.163097032","43.966745851","45.436531121","27.799575691","10.817792639","0.000000000","6.215690479","0.052821126","0.215918158","0.000000000","1.0748565070299305","14","3940.567071301","31.663082673"
"10000000000","10000000000","1.085143612","12","11","4","42.648057621","0.215918158","45.737337460","47.392678649","31.736001375","11.329329511","0.000000000","6.645029262","0.056997188","0.272915346","0.000000000","1.0851436121023244","15","3938.556385782","32.648057621"
"10000000000","10000000000","1.095628192","13","12","4","43.495014868","0.272915346","47.326374596","49.176914092","35.813566105","11.795464907","0.000000000","7.036318146","0.060681436","0.333596782","0.000000000","1.0956281926934137","16","3936.770272444","33.495014868"
